年月日,平均気温,最高気温,最低気温,降水量,日照時間,降雪量,平均風速,平均蒸気圧,平均湿度,平均現地気圧
2020/7/3,23.9,29.2,19.4,7,1.2,0,2.7,23.2,79,1010.3
2020/7/4,21.8,24.6,18.8,21,0.1,0,1.7,23.7,91,1002.1
2020/7/5,24.5,28.2,21.2,0,1.4,0,1.8,26.5,86,1002
2020/7/6,23.8,25.7,22.2,10.5,0,0,1.4,28.1,95,1004.1
2020/7/7,26.3,29.3,23,0.5,0.7,0,1.1,30,88,1002.6
2020/7/8,25.4,29.2,21.6,11,1,0,2,28.4,88,1000.9
2020/7/9,24.4,27.2,22.9,9.5,0,0,1.5,28.2,93,1005.3
2020/7/10,24.4,26.2,22.6,0.5,0,0,1.1,28.1,92,1007.3
2020/7/11,24.8,27.7,23.1,5,0.1,0,1.2,29.2,93,1001.7
2020/7/12,26.7,33.1,21.1,0,8.6,0,2.5,24.8,73,1000.4
2020/7/13,21.6,25.2,19.7,1.5,0.5,0,3,21.6,84,1006.8
2020/7/14,21.5,23,19.9,4.5,0,0,1.6,24.1,94,999
2020/7/15,20.9,24.4,17.6,23,0.5,0,2.5,22.5,92,997.4
2020/7/16,20.7,24.8,17.2,0.5,0.3,0,1.7,20.9,86,1003.7
2020/7/17,20.4,22.2,19,2.5,0,0,1.3,22,92,1007.7
2020/7/18,21.2,23.3,19.7,1.5,0,0,1.1,24.2,96,1008.2
2020/7/19,25.5,32.3,20.2,0,8,0,2,26.2,82,1007.4
2020/7/20,26.9,33.4,22.5,8,7.1,0,2.1,27.8,80,1008
2020/7/21,24.7,27.9,22.1,3.5,0,0,1.6,28.4,91,1008.3
2020/7/22,27.2,31.6,24.4,4.5,4.2,0,2,30.4,85,1005
2020/7/23,23.1,24.7,21.4,16.5,0,0,1.5,27,96,1005.2
2020/7/24,24.3,27.5,20.7,2,0,0,1.2,27.3,90,1006.4
2020/7/25,24.3,27.1,22.5,38.5,0.2,0,1.1,29.4,97,1007.7
2020/7/26,24.9,28,23.7,26.5,0.3,0,1,30.4,96,1010.4
2020/7/27,25.3,27.6,23.8,7,0.2,0,1.1,30.3,94,1010.2
2020/7/28,25.2,27.2,23.2,2.5,0,0,0.9,30.2,94,1006.5
2020/7/29,22.6,25.5,20.7,0.5,0,0,2.4,25.4,93,1010.2
2020/7/30,23.1,26.6,20,0,0.3,0,1.7,23.8,85,1012.2
2020/7/31,25.5,29.9,21.7,2,4,0,1.7,26.9,83,1008.5
2020/8/1,26.3,32.2,22.4,6,5.5,0,2.1,25.9,77,1008.7
2020/8/2,26.1,31.7,22,0,6,0,1.9,25,75,1010.4
2020/8/3,27.8,34.2,22.3,0,8.6,0,2.1,26.6,73,1010.1
2020/8/4,29.2,35.2,25.1,0,9.8,0,2.2,29.3,74,1011.1
2020/8/5,30.2,36.2,26.4,0,9.2,0,2,29.9,71,1012.3
2020/8/6,29.4,35.7,25.5,0,7.4,0,2.3,29.7,74,1009.2
2020/8/7,30.1,35.1,25.4,0,7.1,0,2.1,30,72,1004.1
2020/8/8,27.7,32,24.6,0,0.8,0,2.7,27.2,74,1005.7
2020/8/9,29.2,35.4,23.6,0,7.4,0,1.6,28.6,71,1006.2
2020/8/10,31.1,36.4,25.9,0,9.6,0,2.1,30.4,68,1009.5
2020/8/11,32.8,39.6,27.2,0,12.4,0,2.2,32,66,1008.5
2020/8/12,30.4,37.4,27,0,7.1,0,2.1,32.3,75,1008.3
2020/8/13,30.5,37.3,26.1,0,9.3,0,2,30.4,72,1005.6
2020/8/14,30.5,36.3,25.7,0,10.7,0,2.5,28.5,66,1004.7
2020/8/15,31.7,38.3,26.5,1,11.6,0,1.9,31.4,69,1003.3
2020/8/16,31.4,37.1,28.3,0,10,0,2.5,30.9,68,1005.5
2020/8/17,30.9,37.5,27.2,2.5,7,0,1.7,30.5,70,1006.4
2020/8/18,30.3,35.6,26.8,0,9.7,0,2.9,29.2,69,1006.6
2020/8/19,30.1,36.6,25.3,0,10.9,0,2,27.3,66,1007.3
2020/8/20,30.9,38.6,25.1,0,12,0,2.3,28.6,66,1007.8
2020/8/21,31.3,38.2,26,0,10.7,0,2,30.3,68,1008.5
2020/8/22,28.6,35.4,22.6,44.5,4.3,0,2.6,28.7,75,1008
2020/8/23,26.9,31.6,23.5,0,3.7,0,1.9,27.2,78,1005.5
2020/8/24,27.9,33.6,24.1,0,8.2,0,2.3,27.5,75,1004.3
2020/8/25,28.3,34,24.5,0,7.2,0,2.3,26.8,71,1006.8
2020/8/26,28.9,34.6,23.9,0,9.9,0,2.3,29,74,1008.7
2020/8/27,29.8,34.5,25.8,6.5,6.3,0,2.1,31.6,77,1008.7
2020/8/28,30.3,35.7,25.8,0,7.6,0,2.2,31.4,74,1008.2
2020/8/29,30.9,37.3,26.3,0,11.5,0,2.2,31.1,71,1006.8
2020/8/30,30.9,37,27.2,0,6.9,0,2.2,30,69,1006.1
2020/8/31,26.9,32.9,22.2,2.5,2.5,0,2.8,29,83,1007.7
2020/9/1,25.2,27.9,22.2,0,0,0,1.3,25.7,80,1010
2020/9/2,26.7,30.9,23.9,21.5,1,0,2.3,31.5,90,1010
2020/9/3,29,34.8,26.2,15.5,3.8,0,3.2,33.4,84,1007.8
2020/9/4,28.3,35.6,24.3,40,7.9,0,1.9,31,82,1010
2020/9/5,28.3,34.7,24.5,21.5,8.6,0,2.7,30.8,81,1009.4
2020/9/6,26.1,31.6,23.7,3.5,1.5,0,2.6,29.4,88,1009.7
2020/9/7,27.2,30.9,24.6,0.5,2.4,0,3.4,31.2,87,1009.2
2020/9/8,28.7,35,23.9,0,9,0,1.6,29.6,77,1010.8
2020/9/9,29,34.6,24.3,0,9.2,0,2.5,28.1,72,1009.1
2020/9/10,27.4,32.7,24.3,0,4.1,0,2,27.8,77,1007.5
2020/9/11,28.3,34.5,24.3,0,4.9,0,2.1,28.1,75,1010.9
2020/9/12,24.2,26.8,22,13.5,0,0,2.5,27.9,93,1011
2020/9/13,23.4,27.8,21,1.5,0.2,0,2.1,25.7,90,1007.6
2020/9/14,23.5,28.7,20.5,3,3.1,0,2.2,24.5,85,1007.5
2020/9/15,23.9,28.1,20.8,0,3.5,0,2.1,23.1,79,1010.3
2020/9/16,24.1,28.4,21.7,0,0.6,0,1.5,23.1,77,1010.4
2020/9/17,25,27.9,21.2,0,1.4,0,1.2,25.3,80,1008.4
2020/9/18,27.4,31.1,23.4,0,1.9,0,1.3,27.5,76,1003.6
2020/9/19,23,26.5,20.8,4.5,0,0,1.8,25.1,90,1008.2
2020/9/20,21.3,23.1,20,2,0,0,1.4,21.6,86,1010.6
2020/9/21,22.7,26.9,19.9,0.5,4.5,0,1.7,20.9,77,1011.2
2020/9/22,23,28.3,18.4,0,7.9,0,1.9,18.8,68,1014
2020/9/23,20.7,25.1,19,5.5,0.2,0,1.6,21.1,87,1012.1
2020/9/24,20.4,23.1,18.8,1,0,0,2.2,18.9,79,1011.2
2020/9/25,19.4,20.7,17.8,22,0,0,2.1,21.8,97,1004.1
2020/9/26,18.6,20.9,17.4,4,0,0,1.8,20.6,96,1004.9
2020/9/27,19.6,23.8,17.2,3,2.3,0,1.5,20.2,89,1006.2
2020/9/28,21.7,27.9,15.7,0,11.6,0,2.9,16.1,65,1009
2020/9/29,19.7,23.1,16.6,0,2.2,0,1.9,15.4,68,1008.6
2020/9/30,19.9,25.6,14.3,0,10.6,0,2.1,15.6,70,1004.5
2020/10/1,19.9,24.3,16.7,0,3.8,0,1.3,18.2,79,1007.2
2020/10/2,20.8,27.2,14,0,11,0,2.2,15.5,65,1013
2020/10/3,21.6,25.4,18.1,0,2.6,0,1.3,19.2,75,1013.6
2020/10/4,20.7,23.7,18.2,0,0.1,0,1.3,18.7,77,1008.8
2020/10/5,20.8,23.8,18.7,0,2.4,0,1.6,19.3,79,1003.2
2020/10/6,20.1,24.6,16.5,0,3.5,0,3,12,51,1012.3
2020/10/7,18.3,23.9,14.5,8.5,3,0,1.7,15.3,74,1020.9
2020/10/8,14.8,16.1,13.6,34.5,0,0,1.4,16.2,96,1023.1
2020/10/9,14.9,15.4,14.2,45.5,0,0,1.4,16.4,97,1022.6
2020/10/10,15.9,17,14.2,48,0,0,1.9,18,99,1014.9
2020/10/11,20.8,25.9,16.9,0,2.5,0,2.2,20.6,85,1008.4
2020/10/12,22,26.1,18.1,0,5.1,0,1.3,21.8,83,1007.3
2020/10/13,22.3,28,17.9,0,6.9,0,2.4,20.5,77,1008.6
2020/10/14,20.4,23.8,17.9,0,0.7,0,2,16.8,71,1014.5
2020/10/15,17.6,19.5,15.7,0,0,0,1.7,16.2,81,1016.5
2020/10/16,15.4,18.7,13.2,0,2.4,0,1.6,10.8,62,1018
2020/10/17,12.6,15,11.4,22.5,0,0,1.2,13.4,92,1018.4
2020/10/18,14.1,19.1,10.1,0,4,0,1.6,12.5,79,1018.5
2020/10/19,12.8,15.9,10.1,1.5,0.4,0,1.7,12.6,85,1019.4
2020/10/20,15.4,22,9.8,0,8.7,0,1.8,12.1,72,1021.4
2020/10/21,15.5,20.3,11.8,0,5.6,0,1.7,11.9,69,1021.9
2020/10/22,16.2,19.2,13.1,0,0.8,0,1.8,14.1,77,1014.9
2020/10/23,16.8,18.8,15.2,5.5,0,0,2.2,16.6,86,1000
2020/10/24,16.7,21.5,13,0,3.1,0,4,10.4,55,1002.1
2020/10/25,15.2,21.7,10.1,0,10.6,0,3.1,9,54,1008.8
2020/10/26,16,23.2,9.5,0,8.3,0,1.7,10.5,60,1012.6
2020/10/27,16.2,21,11.7,0,5.6,0,1.8,12,66,1015.8
2020/10/28,16.4,20.2,12.4,0,4.5,0,1.5,13.5,73,1015.7
2020/10/29,16.4,21.9,12,0,8.6,0,3.8,9.7,55,1012.9
2020/10/30,14.3,19.6,10.9,0,8.1,0,4.5,7.6,47,1015.3
2020/10/31,13.3,19.6,9.1,0,10.3,0,2.8,8.1,55,1021.9
2020/11/1,12.8,18.9,7.4,0,7,0,1.7,10,69,1021.9
2020/11/2,14.1,16.7,11.8,1.5,1.1,0,1.4,12.4,77,1013.6
2020/11/3,15.2,20.8,12.9,2.5,2.2,0,1.7,13.6,80,1003.7
2020/11/4,12.6,18.1,7.7,0,9.5,0,2.9,7.1,50,1011.4
2020/11/5,12.4,20.1,5.9,0,10.2,0,2.1,7.5,56,1020.5
2020/11/6,11.7,15.1,8.7,0,0.3,0,1.5,9.4,69,1021.3
2020/11/7,14.8,20.2,9.6,0,6.3,0,1.3,11.6,70,1011.6
2020/11/8,17.3,24.3,12.7,0,3.1,0,2.4,11.6,60,1005.5
2020/11/9,13,18,7.6,0,9.8,0,3.7,6.3,44,1010.1
2020/11/10,10.7,16.6,6,0,9.5,0,2.6,6.4,52,1016.4
2020/11/11,10,15.6,5.4,0,9.8,0,2.9,6.5,54,1025.4
2020/11/12,9,13.8,3.4,0,5.7,0,1.8,7.2,64,1029.3
2020/11/13,11.8,19.1,5.2,0,9.5,0,1.9,9.3,68,1021.3
2020/11/14,14.6,21.8,8.4,0,9.8,0,3.7,7.5,47,1022.3
2020/11/15,10.9,17.5,4.8,0,9.5,0,1.7,8,62,1025.1
2020/11/16,13.9,22,5.7,0,9.5,0,1.6,9.7,64,1019.6
2020/11/17,14.7,20.8,9.4,0,9.4,0,2.6,10.2,63,1024.1
2020/11/18,14.1,20.6,7.2,0,8.7,0,1.5,11.4,72,1021.7
2020/11/19,15.9,22.3,10.6,0,8.8,0,1.3,13.6,76,1014.5
2020/11/20,17.2,21.2,13.8,0,1.2,0,1.5,15.5,79,1003.9
2020/11/21,15.1,18.3,8.4,0,9.6,0,5.2,8.2,49,1011.8
2020/11/22,11.2,17.4,6.1,0,6.7,0,1.9,8.6,65,1015.1
2020/11/23,14.3,19.3,9.2,0,7.9,0,5.2,7.8,50,1010.4
2020/11/24,11.2,15.6,8.4,0,4.9,0,3.5,7.7,59,1020.7
2020/11/25,10.7,13.7,8.8,0.5,0,0,1.2,11.2,87,1019
2020/11/26,10.4,16.3,4,0,7.1,0,1.4,10.4,84,1017.4
2020/11/27,11.1,13.5,8.2,0,0.8,0,1.8,10,76,1015.7
2020/11/28,10.7,16.2,6.2,0,8.5,0,4,7.3,58,1010.6
2020/11/29,8.7,13.1,5.1,0,4.9,0,2.1,6.4,58,1018.2
2020/11/30,8.4,15,2.6,0,8.9,0,1.8,7.2,67,1020
2020/12/1,8.7,15.3,2.8,0,9.4,0,2,7,64,1023.7
2020/12/2,7.7,10.5,4.6,0,0,0,1.6,7.5,72,1022.3
2020/12/3,7.9,11.4,4.6,0,0.6,0,1.3,8.7,82,1013.9
2020/12/4,8.7,14.1,3.6,0,8.5,0,2.8,5.6,52,1018.8
2020/12/5,6.2,9.5,2.6,0,0,0,1.5,6.9,73,1021.1
2020/12/6,7.1,14.6,0.4,0,9.2,0,1.5,7.3,75,1020.4
2020/12/7,8.5,15.8,1.9,0,9.1,0,1.8,7.8,71,1016.1
2020/12/8,10.5,17.2,3.4,0,6.6,0,3,6.7,56,1013.7
2020/12/9,8.1,11.8,4.5,0,2.3,0,1.8,6.5,61,1019.6
2020/12/10,7.7,13.5,4.6,0,3.5,0,1.9,7.4,71,1015.5
2020/12/11,8.1,14.7,1.5,0,7.2,0,1.4,7.9,74,1013
2020/12/12,10.5,16.1,6.4,0,4.6,0,2,8.1,65,1004.7
2020/12/13,8.2,16,3,0,6.4,0,2.2,7.1,67,1005.6
2020/12/14,6.6,12.2,1.9,0,3.6,0,3.8,5,54,1004.2
2020/12/15,4,10.9,-1.8,0,8.6,0,3.1,4.1,54,1007.3
2020/12/16,3.4,9.1,-1.4,0,8,0,2.7,3.7,49,1008.4
2020/12/17,2.6,9.3,-3.6,0,9.3,0,3.2,3.5,51,1013.2
2020/12/18,4.4,11.2,-1.9,0,8.9,0,1.9,3.9,48,1013.6
2020/12/19,4.8,11.1,-0.6,0,8.5,0,4.1,4.3,52,1011.9
2020/12/20,2.9,8.8,-1.9,0,8.6,0,3.2,3.9,53,1016.3
2020/12/21,4,11.1,-1.4,0,9.3,0,2.3,3.9,50,1018.1
2020/12/22,4.3,11.9,-2,0,9.3,0,1.8,4.2,53,1018.2
2020/12/23,6.7,15,-1.4,0,9.3,0,2.1,4.8,52,1016.8
2020/12/24,6.2,12.6,0.4,0,4.1,0,1.7,5.5,60,1008.7
2020/12/25,7.3,13,2.1,0,8.4,0,3.6,4.9,50,1004.1
2020/12/26,6,12.7,0.9,0,9.2,0,2.6,4.6,52,1015
2020/12/27,5.9,12.6,-0.5,0,8,0,1.8,5.6,62,1019.1
2020/12/28,9.5,16.1,5.1,0,7.4,0,2.2,6.6,57,1015
2020/12/29,7.7,12.3,1.3,0,6.8,0,1.8,6.5,62,1013.6
2020/12/30,6.1,15.8,0.6,0,4.6,0,4.3,5.8,61,992.2
2020/12/31,2.2,7.1,-1.6,0,9.2,0,3.6,2.7,40,1005.4
